Episode,MeanAnxiety,Density,WordCount,AnxietyHits,StandardDeviation
DM_20250427-101833_Interview,-0.1531,-0.1075,3711,2605,0.6625099017632415
DM_20250427-105006_Interview,-0.1323,-0.0937,4626,3278,0.7564559368665421
DM_20250427-110824_Interview,-0.191,-0.1312,412,283,0.6073121895960161
DM_20250427-111116_Interview,-0.118,-0.0801,3270,2221,0.7317965678958164
DM_20250427-113824_Interview,-0.0784,-0.0541,2856,1971,0.7791038304785157
DM_20250427-120522_Interview,-0.1224,-0.0843,2851,1964,0.6987253114902824
DM_20250427-123219_Interview,-0.0694,-0.0478,2997,2065,0.6670585021929476
DM_20250427-125714_Interview,-0.119,-0.0831,3223,2252,0.7369709071700487
DM_20250427-132321_Interview,-0.122,-0.0856,648,455,0.7121759779817564
DM_20250427-132719_Interview,-0.1082,-0.0746,4088,2819,0.6780733207055291
DM_20250427-135312_Interview,-0.0568,-0.0383,3582,2418,0.7340924647978204
DM_20250427-142047_Interview,-0.0954,-0.0659,2900,2002,0.7125269157331748
DM_20250427-144510_Interview,-0.1356,-0.0949,2870,2008,0.7006324662774667
DM_20250427-150925_Interview,-0.0743,-0.0528,3522,2504,0.7394053521847956
DM_20250427-153721_Interview,-0.1507,-0.1057,3225,2262,0.7701003201945985
DM_20250427-160614_Interview,-0.1071,-0.0733,4027,2757,0.6805588811630605
DM_20250427-163123_Interview,-0.084,-0.0586,3644,2545,0.7361891068001466
DM_20250427-170136_Interview,-0.0594,-0.0406,2391,1633,0.6755534695226361
DM_20250427-172402_Interview,-0.0923,-0.0631,3238,2213,0.7474589649396334
DM_20250427-175121_Interview,-0.1068,-0.0734,4343,2982,0.7349322847723886
DM_20250427-181342_Interview,-0.0782,-0.0527,3483,2346,0.6357230826307128
DM_20250427-184530_Interview,-0.1143,-0.0798,2666,1862,0.6517118952500809
DM_20250427-190932_Interview,-0.1013,-0.0702,3333,2310,0.6800327185252457
DM_20250427-193724_Interview,-0.0439,-0.0307,2842,1983,0.7554206725049392
DM_20250427-200206_Interview,-0.1356,-0.0941,3417,2372,0.6863510215486058
DM_20250427-203136_Interview,-0.1228,-0.0855,4747,3303,0.7171984577607818
DM_20250427-211417_Interview,-0.1058,-0.0738,3749,2614,0.7301954790684134
DM_20250427-214525_Interview,-0.0917,-0.064,3352,2339,0.7556819544303488
DM_20250427-221558_Interview,-0.1305,-0.0904,3624,2509,0.7080679694901366
DM_20250427-224455_Interview,-0.1257,-0.0866,2817,1941,0.7180718147154699
DM_20250427-231043_Interview,-0.1129,-0.0746,2825,1867,0.6749894085372411
DM_20250427-233442_Interview,-0.0742,-0.0515,2914,2021,0.7356998281858204
